"filename", "language", "TypeScript", "TypeScript JSX", "JavaScript", "PostCSS", "XML", "JSON", "JSON with Comments", "Markdown", "comment", "blank", "total"
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/services/favicon/index.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 0, 9, 6, 50
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/services/favicon/types.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 0, 0, 22, 7, 60
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/services/favicon/utils.ts", "TypeScript", 160, 0, 0, 0, 0, 0, 0, 0, 70, 37, 267
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/services/favicon/validation.test.ts", "TypeScript", 183, 0, 0, 0, 0, 0, 0, 0, 8, 37, 228
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/services/favicon/validation.ts", "TypeScript", 60, 0, 0, 0, 0, 0, 0, 0, 31, 14, 105
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/services/json-yaml/comprehensive.test.ts", "TypeScript", 453, 0, 0, 0, 0, 0, 0, 0, 20, 143, 616
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/services/json-yaml/constants.ts", "TypeScript", 43, 0, 0, 0, 0, 0, 0, 0, 21, 8, 72
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/services/json-yaml/formatter.test.ts", "TypeScript", 180, 0, 0, 0, 0, 0, 0, 0, 4, 28, 212
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/services/json-yaml/formatter.ts", "TypeScript", 229, 0, 0, 0, 0, 0, 0, 0, 47, 39, 315
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/services/json-yaml/index.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 0, 8, 5, 43
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/services/json-yaml/types.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 21, 7, 54
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/services/json-yaml/validation.test.ts", "TypeScript", 170, 0, 0, 0, 0, 0, 0, 0, 6, 34, 210
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/services/json-yaml/validation.ts", "TypeScript", 98, 0, 0, 0, 0, 0, 0, 0, 34, 16, 148
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/services/pomodoro/constants.ts", "TypeScript", 67, 0, 0, 0, 0, 0, 0, 0, 9, 8, 84
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/services/pomodoro/index.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 5, 2, 10
"/home/fractiunate/DEV_UBUNTU/favicon-converter/website/services/pomodoro/types.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 0, 22, 7, 56
